sensitivity_case,scenario,label,delivered_diesel_cost_usd_per_mwh,hydrogen_capex_multiplier,outage_duration_hours,carbon_price_usd_per_t,total_annual_cost_usd,lcoe_usd_per_mwh_served,diesel_mwh,diesel_co2_t,carbon_cost_usd,eens_mwh,lpsp,critical_load_served_ratio,survivable_outage_duration_h,resilience_penalty_usd,resilience_adjusted_cost_usd,delta_cost_usd,battery_hydrogen_preferred_pure,delta_cost_resilience_adjusted_usd,battery_hydrogen_preferred_resilience
47,battery_hydrogen,PV + battery + hydrogen,200.0,0.7,48.0,150.0,3511724.532844751,337.4424238473385,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3511724.532844751,707119.2395100398,False,485835.57344753994,False
48,diesel_battery,PV + diesel + battery,200.0,0.75,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,782217.3898025476,False,560933.7237400478,False
48,battery_hydrogen,PV + battery + hydrogen,200.0,0.75,48.0,150.0,3586822.683137259,344.6586225053315,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3586822.683137259,782217.3898025476,False,560933.7237400478,False
49,diesel_battery,PV + diesel + battery,200.0,0.8,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,857315.5400950555,False,636031.8740325556,False
49,battery_hydrogen,PV + battery + hydrogen,200.0,0.8,48.0,150.0,3661920.833429767,351.87482116332455,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3661920.833429767,857315.5400950555,False,636031.8740325556,False
50,diesel_battery,PV + diesel + battery,200.0,0.85,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,932413.6903875633,False,711130.0243250635,False
50,battery_hydrogen,PV + battery + hydrogen,200.0,0.85,48.0,150.0,3737018.9837222747,359.0910198213176,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3737018.9837222747,932413.6903875633,False,711130.0243250635,False
51,diesel_battery,PV + diesel + battery,200.0,0.9,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,1007511.8406800712,False,786228.1746175713,False
51,battery_hydrogen,PV + battery + hydrogen,200.0,0.9,48.0,150.0,3812117.1340147825,366.3072184793107,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3812117.1340147825,1007511.8406800712,False,786228.1746175713,False
52,diesel_battery,PV + diesel + battery,200.0,0.95,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,1082609.990972579,False,861326.3249100791,False
