sensitivity_case,scenario,label,delivered_diesel_cost_usd_per_mwh,outage_duration_hours,hydrogen_capex_multiplier,carbon_price_usd_per_t,total_annual_cost_usd,lcoe_usd_per_mwh_served,diesel_mwh,diesel_co2_t,carbon_cost_usd,eens_mwh,lpsp,critical_load_served_ratio,survivable_outage_duration_h,resilience_penalty_usd,resilience_adjusted_cost_usd,battery_hydrogen_minus_diesel_battery_usd,battery_hydrogen_preferred_to_diesel_battery
41,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,0.7,150.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,5181953.096665756,1176315.988612705,False
42,diesel_battery,PV + diesel + battery,380.0,48.0,0.7,300.0,4482183.914349951,430.6942271939661,6200.65198628,4340.456390396,1302136.9171187999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,4656705.566612451,525247.5300533045,False
42,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,0.7,300.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,5181953.096665756,525247.5300533045,False
43,diesel_battery,PV + diesel + battery,380.0,48.0,1.0,0.0,3180046.997231151,305.5715495136258,6200.65198628,4340.456390396,0.0,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,3354568.649493651,2994330.9033866855,False
43,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,1.0,0.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,6348899.5528803365,2994330.9033866855,False
44,diesel_battery,PV + diesel + battery,380.0,48.0,1.0,150.0,3831115.455790551,368.132888353796,6200.65198628,4340.456390396,651068.4585593999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,4005637.108053051,2343262.4448272856,False
44,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,1.0,150.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,6348899.5528803365,2343262.4448272856,False
45,diesel_battery,PV + diesel + battery,380.0,48.0,1.0,300.0,4482183.914349951,430.6942271939661,6200.65198628,4340.456390396,1302136.9171187999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,4656705.566612451,1692193.9862678852,False
45,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,1.0,300.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,6348899.5528803365,1692193.9862678852,False
46,diesel_battery,PV + diesel + battery,380.0,96.0,0.45,0.0,3180046.997231151,305.5715495136258,6200.65198628,4340.456390396,0.0,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,3563473.723668651,646023.9928182871,False
46,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,0.45,0.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,4209497.716486938,646023.9928182871,False
47,diesel_battery,PV + diesel + battery,380.0,96.0,0.45,150.0,3831115.455790551,368.132888353796,6200.65198628,4340.456390396,651068.4585593999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,4214542.182228051,-5044.465741112828,True
47,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,0.45,150.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,4209497.716486938,-5044.465741112828,True
48,diesel_battery,PV + diesel + battery,380.0,96.0,0.45,300.0,4482183.914349951,430.6942271939661,6200.65198628,4340.456390396,1302136.9171187999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,4865610.640787451,-656112.9243005123,True
48,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,0.45,300.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,4209497.716486938,-656112.9243005123,True
49,diesel_battery,PV + diesel + battery,380.0,96.0,0.7,0.0,3180046.997231151,305.5715495136258,6200.65198628,4340.456390396,0.0,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,3563473.723668651,1618479.3729971047,False
49,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,0.7,0.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,5181953.096665756,1618479.3729971047,False
50,diesel_battery,PV + diesel + battery,380.0,96.0,0.7,150.0,3831115.455790551,368.132888353796,6200.65198628,4340.456390396,651068.4585593999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,4214542.182228051,967410.9144377047,False
50,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,0.7,150.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,5181953.096665756,967410.9144377047,False
51,diesel_battery,PV + diesel + battery,380.0,96.0,0.7,300.0,4482183.914349951,430.6942271939661,6200.65198628,4340.456390396,1302136.9171187999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,4865610.640787451,316342.45587830525,False
51,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,0.7,300.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,5181953.096665756,316342.45587830525,False
52,diesel_battery,PV + diesel + battery,380.0,96.0,1.0,0.0,3180046.997231151,305.5715495136258,6200.65198628,4340.456390396,0.0,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,3563473.723668651,2785425.8292116853,False
52,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,1.0,0.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,6348899.5528803365,2785425.8292116853,False
53,diesel_battery,PV + diesel + battery,380.0,96.0,1.0,150.0,3831115.455790551,368.132888353796,6200.65198628,4340.456390396,651068.4585593999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,4214542.182228051,2134357.3706522854,False
53,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,1.0,150.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,6348899.5528803365,2134357.3706522854,False
54,diesel_battery,PV + diesel + battery,380.0,96.0,1.0,300.0,4482183.914349951,430.6942271939661,6200.65198628,4340.456390396,1302136.9171187999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,4865610.640787451,1483288.912092886,False
54,battery_hydrogen,PV + battery + hydrogen,380.0,96.0,1.0,300.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,6348899.5528803365,1483288.912092886,False
55,diesel_battery,PV + diesel + battery,700.0,12.0,0.45,0.0,5164255.632840752,496.2346774074778,6200.65198628,4340.456390396,0.0,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,5177332.150540751,-967834.4340538131,True
55,battery_hydrogen,PV + battery + hydrogen,700.0,12.0,0.45,0.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4209497.716486938,-967834.4340538131,True
56,diesel_battery,PV + diesel + battery,700.0,12.0,0.45,150.0,5815324.091400151,558.7960162476479,6200.65198628,4340.456390396,651068.4585593999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,5828400.609100151,-1618902.8926132126,True
